D_number,date_UTC,Latitude,Longitude,U_speed_mps,U_Dir_deg,batteryState
298,2023-04-24 19:03:17,54.49017,10.30084,0.231486551422789,117.673586839529,GOOD
298,2023-04-24 19:13:23,54.4896,10.30361,0.281820143885016,119.824274839794,GOOD
298,2023-04-24 19:18:18,54.48924,10.30466,0.267603319506791,119.43327709163,GOOD
298,2023-04-24 19:23:17,54.48902,10.30606,0.314194376193856,104.042791366499,GOOD
298,2023-04-24 19:33:16,54.48843,10.30885,0.196131534993014,107.689169984697,GOOD
298,2023-04-24 19:53:36,54.48726,10.31415,0.294806249447023,108.025881772795,GOOD
298,2023-04-24 19:58:33,54.48701,10.31556,0.321524514932293,105.867229038079,GOOD
298,2023-04-24 20:08:22,54.48646,10.31837,0.31610231624736,109.539278813467,GOOD
298,2023-04-24 20:23:25,54.48544,10.3229,0.348483234710358,110.068143737808,GOOD
298,2023-04-24 20:34:59,54.48459,10.3264,0.454378438992935,109.471456599044,GOOD
298,2023-04-24 20:43:21,54.48396,10.3291,0.375425737164816,110.757444506097,GOOD
298,2023-04-24 20:48:33,54.48358,10.33075,0.368486263126999,110.498043980529,GOOD
298,2023-04-24 20:53:26,54.4832,10.33243,0.398561116032932,110.145729235578,GOOD
298,2023-04-24 21:23:28,54.48058,10.3429,0.432368779636531,114.854224974947,GOOD
298,2023-04-24 21:28:25,54.48009,10.34476,0.445407521754157,113.248696514321,GOOD
298,2023-04-24 21:58:23,54.47689,10.35618,0.456758700263775,114.597069661465,GOOD
298,2023-04-24 22:08:22,54.47588,10.36002,0.455851561136402,113.200732903192,GOOD
298,2023-04-24 22:18:22,54.47503,10.3639,0.447752540897914,109.506322412488,GOOD
298,2023-04-24 22:23:23,54.47465,10.3659,0.452952000098207,106.957799833211,GOOD
298,2023-04-24 22:38:22,54.47345,10.37232,0.208717183742098,102.241575409221,GOOD
298,2023-04-24 22:43:25,54.47308,10.37401,0.386179257227155,109.484386414652,GOOD
298,2023-04-24 22:53:25,54.47234,10.37796,0.427344996908737,106.043914235384,GOOD
298,2023-04-24 23:03:28,54.47155,10.38178,0.435700296028288,108.425805913313,GOOD
298,2023-04-24 23:18:35,54.4704,10.38749,0.443907444201026,105.377094919846,GOOD
298,2023-04-24 23:23:32,54.47007,10.38944,0.443151814911128,105.071229800141,GOOD
298,2023-04-24 23:28:31,54.46982,10.39141,0.437063830552909,101.159775099691,GOOD
298,2023-04-24 23:43:37,54.46877,10.39708,0.384635177225382,106.33474014454,GOOD
298,2023-04-24 23:48:35,54.46846,10.39892,0.416622086984388,104.994597590618,GOOD
298,2023-04-24 23:58:48,54.46819,10.40311,0.445750419973754,95.172730738178,GOOD
298,2023-04-25 00:03:38,54.46761,10.40474,0.426927751763275,120.277468849894,GOOD
298,2023-04-25 00:08:41,54.46732,10.40639,0.368696191886074,105.646543220469,GOOD
298,2023-04-25 00:13:41,54.46722,10.40787,0.321922281734695,95.4714272769565,GOOD
298,2023-04-25 00:18:43,54.46679,10.41021,0.526650075678629,106.362292394849,GOOD
298,2023-04-25 00:23:46,54.46685,10.41137,0.249134625031541,83.777452983925,GOOD
298,2023-04-25 00:33:48,54.46638,10.4147,0.338671358622172,99.5801279852758,GOOD
298,2023-04-25 00:48:48,54.46543,10.42025,0.416637527242613,105.221892319727,GOOD
298,2023-04-25 00:58:48,54.46507,10.42349,0.321714385333642,100.145834334553,GOOD
298,2023-04-25 01:08:45,54.46442,10.42605,0.281952254530509,119.709345617622,GOOD
298,2023-04-25 01:28:50,54.46249,10.43094,0.334543773597694,108.264862668229,GOOD
